entity_id,entity_type,url,label,description,source_domain,thumbnail_url,provider,date,declared_at,harvested_at,harvest_path
d2f7966d9d4a0baaed251cd34cd1b16b,record,http://www.moma.org/collection/works/66170,Jazz,,www.moma.org,http://www.moma.org/media/W1siZiIsIjI4NzA3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c164269a53ad7391,Empire State Digital Network,1947,,2026-05-21T17:44:28Z,api_dpla
79ace2f94353b4e7f49fe2335b361905,record,http://digitalcollections.hclib.org/cdm/ref/collection/Humans/id/419,Jazz,"Castaneda, Jazz",digitalcollections.hclib.org,http://digitalcollections.hclib.org/utils/getthumbnail/collection/Humans/id/419,Minnesota Digital Library,2016,,2026-05-21T17:44:28Z,api_dpla
348d9dc4be7f8b0d4459886c6a102ba6,record,http://n2t.net/ark:/65665/kq4f941e0e9-9d65-42e9-b43a-5c876f7175cf,Jazz,Borås Wäfveri AB,n2t.net,https://ids.si.edu/ids/deliveryService?id=CHSDM-EFC4DD07295A2-000001,Smithsonian Institution,1971,,2026-05-21T17:44:28Z,api_dpla
cf3fb6595409d19a0060f920ac5639a1,record,http://n2t.net/ark:/65665/sm450130f78-1139-4a01-a547-b467db6ed111,Jazz,Trombone,n2t.net,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_90_53_ext,Smithsonian Institution,c. 1960,,2026-05-21T17:44:28Z,api_dpla
c6ef5cab785f4ffa17512c096c9bbe70,record,https://cudl.colorado.edu/luna/servlet/detail/UCBOULDERCB1~57~57~473439~1253555,Jazz,Music--Performance,cudl.colorado.edu,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/AUDIO/UCBOULDERCB1~57~57/5308/cwa_88-13P.mp3,Plains to Peaks Collective,1988-04-13,,2026-05-21T17:44:28Z,api_dpla
ld1-1646149545906-1646150510742-0,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!716731~!0#focus,The Cambridge companion to jazz / edited by Mervyn Cooke and David Horn,Jazz,siris-libraries.si.edu,,Smithsonian Libraries,2000s,,2026-05-21T17:44:30Z,api_smithsonian
sro-1663946979444-1663946989955-0,record,https://www.cooperhewitt.org/2017/08/08/dancing-is-the-jazz-age-jazz-is-dancing-music-swing-is-jazz-music/,Dancing IS the Jazz Age….Jazz is dancing music. Swing is Jazz music,,www.cooperhewitt.org,,Smithsonian Libraries and Archives,2010s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1646149545906-1646149727294-1,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!980517~!0#focus,"Discover jazz / [edited by] John Edward Hasse, Tad Lathrop","Analysis, appreciation",siris-libraries.si.edu,,Smithsonian Libraries,2010s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1686732332010-1686732332025-1,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!1159192~!0#focus,The Oxford companion to jazz edited by Bill Kirchner,Jazz,siris-libraries.si.edu,,Smithsonian Libraries,2000s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1646149545906-1646149602686-1,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!18791~!0#focus,The real jazz,Jazz,siris-libraries.si.edu,,Smithsonian Libraries,1960s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1646149545906-1646150217822-1,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!990299~!0#focus,"Jazz/not jazz : the music and its boundaries / edited by David Ake, Charles Hiroshi Garrett, Daniel Goldmark",Jazz,siris-libraries.si.edu,,Smithsonian Libraries,2010s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1646149545906-1646149969363-0,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!15170~!0#focus,I like jazz,Jazz,siris-libraries.si.edu,,Smithsonian Libraries,1960s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1646149545906-1646150255234-1,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!680585~!0#focus,A new history of jazz / Alyn Shipton,Jazz,siris-libraries.si.edu,,Smithsonian Libraries,2000s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1646149545906-1646150676285-0,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!954277~!0#focus,The world of jazz / Rodney Dale,Jazz,siris-libraries.si.edu,,Smithsonian Libraries,1980s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1682428074342-1682428074671-0,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!1160653~!0#focus,The history of jazz by Ted Gioia,Jazz,siris-libraries.si.edu,,Smithsonian Libraries,2020s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1646149545906-1646150956262-1,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!19838~!0#focus,"Jazz: the transition years, 1940-1960 [by] John S. Wilson",Jazz,siris-libraries.si.edu,,Smithsonian Libraries,1960s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1646149545906-1646149995397-1,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!965387~!0#focus,Jazz journal and jazz & blues,Jazz,siris-libraries.si.edu,,Smithsonian Libraries,1970s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1646149545906-1646149884396-1,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!11149~!0#focus,Jazz people with photographs by the author,Musiciens de jazz,siris-libraries.si.edu,,Smithsonian Libraries,1970s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1682428074342-1682428074663-0,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!1160648~!0#focus,Latin jazz the other jazz Christopher Washburne,Jazz,siris-libraries.si.edu,,Smithsonian Libraries,2020s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1646149545906-1646149571316-0,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!1053922~!0#focus,"The new edition of the encyclopedia of jazz : completely revised, enlarged and brought up to date / by Leonard Feather ; appreciations by Duke Ellington, Benny Goodman and John Hammond",Jazz,siris-libraries.si.edu,,Smithsonian Libraries,1960s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1646149545906-1646150522405-0,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!12282~!0#focus,The history of jazz,Jazz,siris-libraries.si.edu,,Smithsonian Libraries,1960s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1646149545906-1646150524143-1,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!976708~!0#focus,Jazz profiles. Jazz in song [sound recording],Jazz,siris-libraries.si.edu,,Smithsonian Libraries,2000s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1660639900692-1660639901099-0,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!1157100~!0#focus,"Sight readings photographers and American jazz, 1900-1960 Alan Ainsworth ; foreword by Darius Brubeck",Photography,siris-libraries.si.edu,,Smithsonian Libraries,1920s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1646149545906-1646150522341-0,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!975993~!0#focus,"NEA jazz in the schools jazz, an American story produced by Jazz at Lincoln Center",Jazz,siris-libraries.si.edu,,Smithsonian Libraries,2000s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1646149545906-1646150114083-2,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!767819~!0#focus,The rise of a jazz art world / Paul Lopes,Jazz,siris-libraries.si.edu,,Smithsonian Libraries,2000s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1646149545906-1646149688165-1,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!627224~!0#focus,Riffs & choruses : a new jazz anthology / edited by Andrew Clark,Jazz,siris-libraries.si.edu,,Smithsonian Libraries,2000s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1646149545906-1646149719743-0,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!353184~!0#focus,Jazz : new perspectives on the history of jazz / by twelve of the world's foremost jazz critics and scholars ; edited by Nat Hentoff and Albert J. McCarthy,Jazz,siris-libraries.si.edu,,Smithsonian Libraries,1950s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1646149545906-1646150206942-2,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!986149~!0#focus,Blue notes in black and white : photography and jazz / Benjamin Cawthra,Photography,siris-libraries.si.edu,,Smithsonian Libraries,1920s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1646149545906-1646150938686-2,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!920622~!0#focus,The culture of jazz : jazz as critical culture / Frank A. Salamone,Popular culture,siris-libraries.si.edu,,Smithsonian Libraries,1920s,,2026-05-21T17:44:30Z,api_smithsonian
ld1-1646149545906-1646149971386-0,record,https://siris-libraries.si.edu/ipac20/ipac.jsp?&profile=liball&source=~!silibraries&uri=full=3100001~!1099031~!0#focus,Jazz in China : from dance hall music to individual freedom of expression / Eugene Marlow,Jazz,siris-libraries.si.edu,,Smithsonian Libraries,2010s,,2026-05-21T17:44:30Z,api_smithsonian
